Real-Time Object Detection Summary

Object: person, Confidence: 0.27, Color: Black, Position: Bottom-Right, Width: 117, Height: 50
Object: dog, Confidence: 0.39, Color: Black, Position: Bottom-Right, Width: 114, Height: 58
Object: person, Confidence: 0.86, Color: Green, Position: Bottom-Center, Width: 501, Height: 300
Object: dog, Confidence: 0.27, Color: Black, Position: Bottom-Right, Width: 114, Height: 59
Object: cell phone, Confidence: 0.43, Color: Black, Position: Top-Center, Width: 243, Height: 138
Object: person, Confidence: 0.87, Color: Green, Position: Bottom-Center, Width: 496, Height: 300
Object: cell phone, Confidence: 0.49, Color: Black, Position: Top-Center, Width: 251, Height: 136
Object: person, Confidence: 0.87, Color: Green, Position: Bottom-Center, Width: 501, Height: 299
Object: person, Confidence: 0.84, Color: White, Position: Bottom-Center, Width: 443, Height: 294
Real-Time Object Detection Summary

Object: person, Confidence: 0.36, Color: Black, Position: Center-Right, Width: 147, Height: 389
Object: suitcase, Confidence: 0.27, Color: Black, Position: Center, Width: 555, Height: 303
Object: suitcase, Confidence: 0.29, Color: Black, Position: Center, Width: 549, Height: 290
Object: suitcase, Confidence: 0.25, Color: Black, Position: Center, Width: 552, Height: 301
Object: cell phone, Confidence: 0.34, Color: Other, Position: Center, Width: 246, Height: 182
Object: person, Confidence: 0.27, Color: Black, Position: Center-Right, Width: 362, Height: 399
Object: person, Confidence: 0.29, Color: Green, Position: Center, Width: 616, Height: 304
Object: person, Confidence: 0.46, Color: Black, Position: Center-Right, Width: 382, Height: 254
Object: person, Confidence: 0.39, Color: Black, Position: Center-Right, Width: 385, Height: 257
Object: person, Confidence: 0.48, Color: Black, Position: Center-Right, Width: 382, Height: 254
Object: person, Confidence: 0.39, Color: Black, Position: Center-Right, Width: 385, Height: 248
Object: person, Confidence: 0.40, Color: Black, Position: Center-Right, Width: 382, Height: 251
Object: person, Confidence: 0.26, Color: Other, Position: Center-Right, Width: 333, Height: 248
Object: person, Confidence: 0.40, Color: White, Position: Center-Right, Width: 282, Height: 412
Object: person, Confidence: 0.37, Color: Black, Position: Center-Right, Width: 251, Height: 404
Object: person, Confidence: 0.28, Color: Black, Position: Center-Right, Width: 249, Height: 412
Object: person, Confidence: 0.27, Color: Black, Position: Center-Right, Width: 254, Height: 398
Object: toilet, Confidence: 0.38, Color: Gray, Position: Top-Center, Width: 128, Height: 31
Real-Time Object Detection Summary

Object: laptop, Confidence: 0.28, Color: Gray, Position: Center-Right, Width: 54, Height: 52
Object: chair, Confidence: 0.61, Color: Green, Position: Bottom-Right, Width: 66, Height: 85
Object: person, Confidence: 0.72, Color: Green, Position: Center, Width: 584, Height: 477
Object: person, Confidence: 0.73, Color: Green, Position: Center-Right, Width: 75, Height: 70
Object: chair, Confidence: 0.29, Color: Black, Position: Bottom-Left, Width: 58, Height: 142
Object: person, Confidence: 0.62, Color: Green, Position: Center, Width: 552, Height: 480
Object: person, Confidence: 0.69, Color: Black, Position: Center-Right, Width: 71, Height: 68
Object: chair, Confidence: 0.73, Color: Gray, Position: Bottom-Right, Width: 61, Height: 83
Object: person, Confidence: 0.48, Color: White, Position: Center, Width: 584, Height: 479
Object: chair, Confidence: 0.71, Color: Other, Position: Bottom-Right, Width: 54, Height: 77
Object: person, Confidence: 0.57, Color: Other, Position: Center-Right, Width: 72, Height: 68
Object: chair, Confidence: 0.71, Color: White, Position: Bottom-Right, Width: 60, Height: 80
Object: person, Confidence: 0.73, Color: Green, Position: Center, Width: 576, Height: 480
Object: chair, Confidence: 0.70, Color: Other, Position: Bottom-Right, Width: 61, Height: 81
Object: person, Confidence: 0.71, Color: Green, Position: Center, Width: 574, Height: 478
Object: person, Confidence: 0.76, Color: White, Position: Center-Right, Width: 69, Height: 69
Object: laptop, Confidence: 0.32, Color: Gray, Position: Center-Right, Width: 50, Height: 52
Object: person, Confidence: 0.71, Color: White, Position: Center, Width: 576, Height: 478
Object: chair, Confidence: 0.72, Color: Green, Position: Bottom-Right, Width: 61, Height: 81
Object: person, Confidence: 0.81, Color: Green, Position: Center-Right, Width: 70, Height: 69
Object: laptop, Confidence: 0.28, Color: Gray, Position: Center-Right, Width: 51, Height: 53
Object: person, Confidence: 0.69, Color: White, Position: Center, Width: 568, Height: 478
Object: chair, Confidence: 0.73, Color: Green, Position: Bottom-Right, Width: 61, Height: 82
Object: person, Confidence: 0.81, Color: Green, Position: Center-Right, Width: 67, Height: 69
Object: laptop, Confidence: 0.27, Color: Gray, Position: Center-Right, Width: 50, Height: 53
Object: person, Confidence: 0.65, Color: White, Position: Center, Width: 575, Height: 479
Object: chair, Confidence: 0.69, Color: Green, Position: Bottom-Right, Width: 61, Height: 82
Object: person, Confidence: 0.82, Color: Green, Position: Center-Right, Width: 67, Height: 70
Object: laptop, Confidence: 0.40, Color: Other, Position: Center-Right, Width: 51, Height: 52
Object: person, Confidence: 0.67, Color: White, Position: Center, Width: 573, Height: 480
Object: chair, Confidence: 0.76, Color: Green, Position: Bottom-Right, Width: 60, Height: 82
Object: person, Confidence: 0.80, Color: Green, Position: Center-Right, Width: 66, Height: 70
Object: person, Confidence: 0.67, Color: White, Position: Center, Width: 580, Height: 480
Object: chair, Confidence: 0.73, Color: White, Position: Bottom-Right, Width: 60, Height: 81
Object: person, Confidence: 0.79, Color: Gray, Position: Center-Right, Width: 62, Height: 71
Object: person, Confidence: 0.74, Color: Black, Position: Center, Width: 591, Height: 475
Object: person, Confidence: 0.60, Color: White, Position: Center-Right, Width: 288, Height: 475
Object: person, Confidence: 0.35, Color: Black, Position: Center, Width: 512, Height: 228
Object: person, Confidence: 0.30, Color: Black, Position: Top-Right, Width: 250, Height: 230
Object: person, Confidence: 0.43, Color: Black, Position: Top-Center, Width: 471, Height: 286
Object: dining table, Confidence: 0.34, Color: Other, Position: Center, Width: 633, Height: 321
Object: person, Confidence: 0.43, Color: Green, Position: Center-Right, Width: 235, Height: 216
Object: person, Confidence: 0.30, Color: Black, Position: Center-Right, Width: 359, Height: 147
Object: person, Confidence: 0.43, Color: Black, Position: Center-Right, Width: 364, Height: 147
Object: person, Confidence: 0.32, Color: Black, Position: Center-Right, Width: 363, Height: 158
Object: dining table, Confidence: 0.33, Color: Other, Position: Center, Width: 622, Height: 336
Object: dining table, Confidence: 0.41, Color: Other, Position: Center, Width: 627, Height: 335
Object: chair, Confidence: 0.25, Color: Black, Position: Center-Right, Width: 123, Height: 162
Object: person, Confidence: 0.33, Color: Green, Position: Center-Right, Width: 59, Height: 183
Object: dining table, Confidence: 0.40, Color: Green, Position: Center, Width: 628, Height: 334
Object: chair, Confidence: 0.27, Color: Black, Position: Center-Right, Width: 60, Height: 188
Object: dining table, Confidence: 0.38, Color: Green, Position: Center, Width: 630, Height: 334
Object: chair, Confidence: 0.27, Color: Black, Position: Top-Left, Width: 130, Height: 135
Object: chair, Confidence: 0.30, Color: Black, Position: Center-Right, Width: 61, Height: 188
Object: chair, Confidence: 0.36, Color: Green, Position: Center-Right, Width: 123, Height: 161
Object: dining table, Confidence: 0.36, Color: Green, Position: Center, Width: 628, Height: 334
Object: chair, Confidence: 0.26, Color: Black, Position: Center-Right, Width: 60, Height: 191
Object: dining table, Confidence: 0.35, Color: Green, Position: Center, Width: 625, Height: 334
Object: chair, Confidence: 0.31, Color: Black, Position: Center-Right, Width: 62, Height: 190
Object: chair, Confidence: 0.37, Color: Green, Position: Center-Right, Width: 124, Height: 170
Object: dining table, Confidence: 0.37, Color: Green, Position: Center, Width: 628, Height: 335
Object: chair, Confidence: 0.26, Color: Black, Position: Top-Left, Width: 136, Height: 135
Object: chair, Confidence: 0.28, Color: Black, Position: Center-Right, Width: 103, Height: 159
Object: dining table, Confidence: 0.39, Color: Green, Position: Center, Width: 627, Height: 334
Object: person, Confidence: 0.45, Color: Green, Position: Center-Right, Width: 45, Height: 220
Object: dining table, Confidence: 0.34, Color: Other, Position: Center, Width: 627, Height: 334
Object: chair, Confidence: 0.54, Color: Green, Position: Center-Right, Width: 127, Height: 180
Object: person, Confidence: 0.30, Color: Black, Position: Center-Left, Width: 202, Height: 115
Object: horse, Confidence: 0.50, Color: Green, Position: Top-Right, Width: 422, Height: 263
Object: orange, Confidence: 0.30, Color: Other, Position: Center-Left, Width: 92, Height: 93
Object: knife, Confidence: 0.32, Color: Gray, Position: Center, Width: 155, Height: 33
Object: person, Confidence: 0.49, Color: Green, Position: Top-Right, Width: 366, Height: 244
Object: sports ball, Confidence: 0.53, Color: Green, Position: Center-Left, Width: 93, Height: 94
Object: person, Confidence: 0.34, Color: Black, Position: Center-Right, Width: 387, Height: 220
Object: person, Confidence: 0.49, Color: Black, Position: Center-Right, Width: 384, Height: 215
Object: person, Confidence: 0.33, Color: Black, Position: Center-Right, Width: 392, Height: 222
Object: sports ball, Confidence: 0.46, Color: Green, Position: Center, Width: 87, Height: 82
Object: person, Confidence: 0.36, Color: Black, Position: Center-Right, Width: 391, Height: 220
Object: sports ball, Confidence: 0.45, Color: Green, Position: Center, Width: 88, Height: 82
Object: sports ball, Confidence: 0.44, Color: Other, Position: Center, Width: 89, Height: 82
Object: person, Confidence: 0.49, Color: Green, Position: Center-Right, Width: 386, Height: 220
Object: sports ball, Confidence: 0.38, Color: Other, Position: Center, Width: 86, Height: 82
Object: person, Confidence: 0.40, Color: Green, Position: Center-Right, Width: 385, Height: 226
Object: person, Confidence: 0.48, Color: Black, Position: Center-Right, Width: 375, Height: 218
Object: person, Confidence: 0.37, Color: Black, Position: Center-Right, Width: 380, Height: 224
Object: person, Confidence: 0.39, Color: Black, Position: Center-Right, Width: 385, Height: 222
Object: person, Confidence: 0.41, Color: Black, Position: Center-Right, Width: 382, Height: 223
Object: dog, Confidence: 0.49, Color: White, Position: Top-Right, Width: 410, Height: 133
Object: person, Confidence: 0.29, Color: Black, Position: Center-Right, Width: 390, Height: 455
Object: person, Confidence: 0.25, Color: White, Position: Center-Left, Width: 276, Height: 325
Object: knife, Confidence: 0.40, Color: Other, Position: Center-Left, Width: 96, Height: 74
Object: person, Confidence: 0.37, Color: Black, Position: Center, Width: 625, Height: 431
Object: person, Confidence: 0.26, Color: Black, Position: Center, Width: 462, Height: 339
Real-Time Object Detection Summary

Object: person, Confidence: 0.83, Color: Black, Position: Center, Width: 458, Height: 333
Object: person, Confidence: 0.80, Color: Black, Position: Center, Width: 468, Height: 337
Object: person, Confidence: 0.83, Color: Black, Position: Center, Width: 465, Height: 332
Object: person, Confidence: 0.86, Color: Black, Position: Center, Width: 465, Height: 335
Object: person, Confidence: 0.81, Color: Black, Position: Center, Width: 476, Height: 336
Object: person, Confidence: 0.87, Color: Black, Position: Center, Width: 470, Height: 334
Object: person, Confidence: 0.87, Color: Black, Position: Center, Width: 464, Height: 333
Object: person, Confidence: 0.86, Color: Black, Position: Center, Width: 468, Height: 335
Object: person, Confidence: 0.82, Color: Black, Position: Center, Width: 472, Height: 334
Object: person, Confidence: 0.78, Color: Black, Position: Center, Width: 470, Height: 336
Object: person, Confidence: 0.80, Color: Black, Position: Center, Width: 468, Height: 336
Object: person, Confidence: 0.83, Color: White, Position: Center, Width: 436, Height: 367
Object: person, Confidence: 0.89, Color: Black, Position: Center, Width: 456, Height: 356
Object: person, Confidence: 0.91, Color: White, Position: Center, Width: 431, Height: 360
Object: person, Confidence: 0.50, Color: Black, Position: Bottom-Right, Width: 183, Height: 188
Object: bed, Confidence: 0.30, Color: Other, Position: Bottom-Center, Width: 613, Height: 286
Object: person, Confidence: 0.35, Color: Black, Position: Top-Right, Width: 235, Height: 252
Object: person, Confidence: 0.39, Color: Black, Position: Top-Right, Width: 231, Height: 201
Object: chair, Confidence: 0.31, Color: Other, Position: Top-Left, Width: 88, Height: 62
Object: dining table, Confidence: 0.33, Color: Gray, Position: Center, Width: 628, Height: 389
Object: person, Confidence: 0.69, Color: Green, Position: Top-Right, Width: 352, Height: 199
Object: bottle, Confidence: 0.85, Color: Green, Position: Top-Center, Width: 92, Height: 220
Object: person, Confidence: 0.60, Color: Black, Position: Top-Right, Width: 370, Height: 186
Object: bottle, Confidence: 0.82, Color: Green, Position: Top-Center, Width: 77, Height: 176
Object: chair, Confidence: 0.29, Color: Other, Position: Top-Left, Width: 83, Height: 62
Object: person, Confidence: 0.70, Color: Green, Position: Top-Right, Width: 352, Height: 183
Object: bottle, Confidence: 0.85, Color: Green, Position: Top-Center, Width: 71, Height: 170
Object: chair, Confidence: 0.26, Color: Other, Position: Top-Left, Width: 83, Height: 61
Object: person, Confidence: 0.64, Color: Green, Position: Top-Right, Width: 357, Height: 185
Object: bottle, Confidence: 0.84, Color: Green, Position: Top-Center, Width: 71, Height: 170
Object: dining table, Confidence: 0.32, Color: Gray, Position: Bottom-Center, Width: 616, Height: 192
Object: person, Confidence: 0.28, Color: Black, Position: Center-Right, Width: 84, Height: 373
Object: dining table, Confidence: 0.25, Color: Other, Position: Bottom-Center, Width: 616, Height: 229
Object: person, Confidence: 0.38, Color: Green, Position: Center-Right, Width: 87, Height: 389
Object: bottle, Confidence: 0.27, Color: White, Position: Center, Width: 60, Height: 192
Object: person, Confidence: 0.57, Color: Green, Position: Center-Right, Width: 83, Height: 289
Object: person, Confidence: 0.31, Color: Black, Position: Center-Right, Width: 102, Height: 278
Object: person, Confidence: 0.43, Color: Black, Position: Top-Right, Width: 56, Height: 126
Object: suitcase, Confidence: 0.28, Color: Black, Position: Center-Right, Width: 213, Height: 212
Object: person, Confidence: 0.42, Color: Green, Position: Top-Right, Width: 56, Height: 127
Object: person, Confidence: 0.44, Color: Black, Position: Top-Right, Width: 56, Height: 130
Object: person, Confidence: 0.28, Color: Black, Position: Center-Right, Width: 96, Height: 236
Object: person, Confidence: 0.41, Color: Green, Position: Top-Right, Width: 56, Height: 128
Object: person, Confidence: 0.35, Color: Black, Position: Top-Right, Width: 55, Height: 127
Object: bed, Confidence: 0.31, Color: Other, Position: Bottom-Center, Width: 598, Height: 271
Object: person, Confidence: 0.47, Color: Green, Position: Center-Right, Width: 357, Height: 217
Object: bottle, Confidence: 0.71, Color: Green, Position: Center, Width: 63, Height: 196
Object: person, Confidence: 0.46, Color: Black, Position: Center-Right, Width: 343, Height: 223
Object: bottle, Confidence: 0.85, Color: Green, Position: Center, Width: 65, Height: 199
Object: dining table, Confidence: 0.27, Color: Other, Position: Bottom-Center, Width: 610, Height: 227
Object: person, Confidence: 0.30, Color: Green, Position: Center-Right, Width: 47, Height: 185
Object: bottle, Confidence: 0.73, Color: Green, Position: Center, Width: 63, Height: 200
Object: suitcase, Confidence: 0.26, Color: Black, Position: Center-Right, Width: 212, Height: 201
Object: dining table, Confidence: 0.31, Color: Green, Position: Bottom-Center, Width: 610, Height: 227
Object: person, Confidence: 0.62, Color: Green, Position: Center-Right, Width: 47, Height: 251
Object: bottle, Confidence: 0.77, Color: Green, Position: Center, Width: 62, Height: 200
Object: chair, Confidence: 0.29, Color: Black, Position: Center-Right, Width: 218, Height: 199
Object: dining table, Confidence: 0.36, Color: Green, Position: Bottom-Center, Width: 604, Height: 227
Object: person, Confidence: 0.57, Color: Green, Position: Center-Right, Width: 49, Height: 253
Object: bottle, Confidence: 0.70, Color: Green, Position: Center, Width: 61, Height: 200
Object: dining table, Confidence: 0.33, Color: Other, Position: Bottom-Center, Width: 607, Height: 227
Object: person, Confidence: 0.57, Color: Green, Position: Center-Right, Width: 52, Height: 253
Object: bottle, Confidence: 0.69, Color: Green, Position: Center, Width: 62, Height: 200
Object: dining table, Confidence: 0.33, Color: Black, Position: Bottom-Center, Width: 608, Height: 228
Object: person, Confidence: 0.62, Color: Green, Position: Center-Right, Width: 56, Height: 259
Object: bottle, Confidence: 0.73, Color: Green, Position: Center, Width: 62, Height: 199
Object: dining table, Confidence: 0.33, Color: Other, Position: Bottom-Center, Width: 610, Height: 228
Object: bottle, Confidence: 0.68, Color: Green, Position: Center, Width: 62, Height: 202
Object: person, Confidence: 0.72, Color: Green, Position: Center-Right, Width: 58, Height: 268
Object: dining table, Confidence: 0.32, Color: Other, Position: Bottom-Center, Width: 608, Height: 228
Object: person, Confidence: 0.41, Color: Green, Position: Center-Right, Width: 29, Height: 213
Object: bottle, Confidence: 0.81, Color: Green, Position: Center, Width: 63, Height: 200
Object: suitcase, Confidence: 0.31, Color: Black, Position: Center-Right, Width: 215, Height: 197
Object: dining table, Confidence: 0.34, Color: Green, Position: Bottom-Center, Width: 612, Height: 228
Object: person, Confidence: 0.62, Color: Green, Position: Center-Right, Width: 43, Height: 223
Object: bottle, Confidence: 0.76, Color: Green, Position: Center, Width: 61, Height: 200
Object: chair, Confidence: 0.27, Color: Black, Position: Center-Right, Width: 233, Height: 205
Object: person, Confidence: 0.30, Color: Green, Position: Center-Right, Width: 38, Height: 94
Object: bottle, Confidence: 0.62, Color: Gray, Position: Center, Width: 63, Height: 200
Object: chair, Confidence: 0.37, Color: Black, Position: Center-Right, Width: 212, Height: 315
Object: bottle, Confidence: 0.70, Color: Gray, Position: Center, Width: 62, Height: 200
Object: suitcase, Confidence: 0.39, Color: Black, Position: Bottom-Right, Width: 191, Height: 294
Object: person, Confidence: 0.56, Color: Green, Position: Center-Right, Width: 24, Height: 90
Object: bottle, Confidence: 0.62, Color: Gray, Position: Center, Width: 63, Height: 200
Object: suitcase, Confidence: 0.32, Color: Black, Position: Bottom-Right, Width: 190, Height: 298
Object: person, Confidence: 0.56, Color: Green, Position: Center-Right, Width: 25, Height: 89
Object: bottle, Confidence: 0.67, Color: Gray, Position: Center, Width: 62, Height: 198
Object: couch, Confidence: 0.41, Color: Black, Position: Center-Right, Width: 215, Height: 313
Object: person, Confidence: 0.49, Color: Green, Position: Center-Right, Width: 17, Height: 52
Object: bottle, Confidence: 0.62, Color: Gray, Position: Center, Width: 63, Height: 199
Object: chair, Confidence: 0.30, Color: Black, Position: Center-Right, Width: 123, Height: 184
Object: bottle, Confidence: 0.76, Color: White, Position: Center, Width: 61, Height: 200
Object: bottle, Confidence: 0.71, Color: Other, Position: Center, Width: 62, Height: 200
Object: bottle, Confidence: 0.60, Color: Other, Position: Top-Center, Width: 63, Height: 307
Object: person, Confidence: 0.31, Color: Black, Position: Top-Right, Width: 207, Height: 83
Object: bottle, Confidence: 0.72, Color: Gray, Position: Top-Center, Width: 69, Height: 222
Object: suitcase, Confidence: 0.77, Color: Black, Position: Center-Right, Width: 229, Height: 333
Object: suitcase, Confidence: 0.31, Color: Black, Position: Center-Right, Width: 227, Height: 342
Object: bottle, Confidence: 0.81, Color: Gray, Position: Top-Center, Width: 68, Height: 226
Object: bottle, Confidence: 0.77, Color: Other, Position: Top-Center, Width: 68, Height: 223
Object: person, Confidence: 0.33, Color: Black, Position: Center-Right, Width: 244, Height: 393
Object: bottle, Confidence: 0.76, Color: Gray, Position: Top-Center, Width: 68, Height: 224
Object: dining table, Confidence: 0.45, Color: Other, Position: Bottom-Center, Width: 467, Height: 203
Object: person, Confidence: 0.64, Color: Black, Position: Center-Right, Width: 46, Height: 142
Object: bottle, Confidence: 0.72, Color: Green, Position: Center, Width: 60, Height: 192
Object: dining table, Confidence: 0.33, Color: Other, Position: Bottom-Center, Width: 631, Height: 196
Object: bottle, Confidence: 0.46, Color: Green, Position: Center, Width: 60, Height: 194
Object: dining table, Confidence: 0.27, Color: Other, Position: Bottom-Center, Width: 611, Height: 211
Object: bottle, Confidence: 0.58, Color: Green, Position: Center, Width: 59, Height: 191
Object: dining table, Confidence: 0.33, Color: Other, Position: Bottom-Center, Width: 640, Height: 185
Object: cup, Confidence: 0.53, Color: White, Position: Bottom-Center, Width: 97, Height: 126
Object: bottle, Confidence: 0.66, Color: Green, Position: Center, Width: 58, Height: 137
Object: dining table, Confidence: 0.35, Color: Other, Position: Bottom-Center, Width: 603, Height: 187
Object: person, Confidence: 0.37, Color: Green, Position: Center-Right, Width: 299, Height: 264
Object: bottle, Confidence: 0.82, Color: Green, Position: Center, Width: 61, Height: 191
Object: cup, Confidence: 0.93, Color: White, Position: Bottom-Left, Width: 86, Height: 118
Object: dining table, Confidence: 0.31, Color: Other, Position: Bottom-Center, Width: 623, Height: 212
Object: person, Confidence: 0.50, Color: Green, Position: Center-Right, Width: 316, Height: 284
Object: bottle, Confidence: 0.74, Color: Green, Position: Center, Width: 60, Height: 189
Object: cup, Confidence: 0.89, Color: White, Position: Bottom-Left, Width: 87, Height: 119
Object: chair, Confidence: 0.29, Color: Other, Position: Center-Left, Width: 96, Height: 56
Object: dining table, Confidence: 0.38, Color: Green, Position: Bottom-Center, Width: 621, Height: 185
Object: person, Confidence: 0.47, Color: Green, Position: Center-Right, Width: 64, Height: 208
Object: bottle, Confidence: 0.69, Color: Green, Position: Center, Width: 60, Height: 193
Object: cup, Confidence: 0.91, Color: Green, Position: Bottom-Center, Width: 86, Height: 120
Object: chair, Confidence: 0.46, Color: Other, Position: Center-Left, Width: 96, Height: 56
Object: dining table, Confidence: 0.51, Color: Green, Position: Bottom-Center, Width: 605, Height: 203
Object: bottle, Confidence: 0.74, Color: Green, Position: Center, Width: 61, Height: 191
Object: cup, Confidence: 0.90, Color: Green, Position: Bottom-Center, Width: 86, Height: 122
Object: chair, Confidence: 0.32, Color: Other, Position: Center-Left, Width: 96, Height: 56
Object: dining table, Confidence: 0.50, Color: Green, Position: Bottom-Center, Width: 610, Height: 203
Object: bottle, Confidence: 0.79, Color: Green, Position: Center, Width: 61, Height: 193
Object: cup, Confidence: 0.89, Color: Green, Position: Bottom-Center, Width: 87, Height: 122
Object: chair, Confidence: 0.42, Color: Other, Position: Center-Left, Width: 96, Height: 56
Object: dining table, Confidence: 0.45, Color: Black, Position: Bottom-Center, Width: 599, Height: 203
Object: bottle, Confidence: 0.77, Color: Green, Position: Center, Width: 61, Height: 193
Object: cup, Confidence: 0.90, Color: Green, Position: Bottom-Center, Width: 87, Height: 122
Object: chair, Confidence: 0.37, Color: Gray, Position: Center-Left, Width: 95, Height: 56
Object: dining table, Confidence: 0.41, Color: Black, Position: Bottom-Center, Width: 597, Height: 203
Object: bottle, Confidence: 0.76, Color: Green, Position: Center, Width: 61, Height: 192
Object: cup, Confidence: 0.90, Color: Green, Position: Bottom-Center, Width: 86, Height: 122
Object: chair, Confidence: 0.37, Color: Other, Position: Center-Left, Width: 94, Height: 56
Object: dining table, Confidence: 0.44, Color: Black, Position: Bottom-Center, Width: 600, Height: 203
Object: bottle, Confidence: 0.73, Color: Green, Position: Center, Width: 61, Height: 191
Object: cup, Confidence: 0.90, Color: Green, Position: Bottom-Center, Width: 86, Height: 122
Object: suitcase, Confidence: 0.30, Color: Black, Position: Center-Right, Width: 244, Height: 232
Object: person, Confidence: 0.33, Color: Green, Position: Center-Right, Width: 73, Height: 318
Object: dining table, Confidence: 0.43, Color: Green, Position: Bottom-Center, Width: 608, Height: 200
Object: bottle, Confidence: 0.48, Color: Green, Position: Center, Width: 60, Height: 177
Object: cup, Confidence: 0.90, Color: Green, Position: Bottom-Center, Width: 86, Height: 122
Object: chair, Confidence: 0.33, Color: Other, Position: Center-Left, Width: 96, Height: 56
Object: person, Confidence: 0.35, Color: Gray, Position: Top-Right, Width: 42, Height: 83
Object: dining table, Confidence: 0.44, Color: Green, Position: Bottom-Center, Width: 596, Height: 203
Object: person, Confidence: 0.56, Color: Green, Position: Center-Right, Width: 192, Height: 283
Object: person, Confidence: 0.66, Color: Green, Position: Top-Right, Width: 26, Height: 59
Object: bottle, Confidence: 0.73, Color: Green, Position: Center, Width: 61, Height: 192
